Procedure,Language,Reading Level,Replicate,Instruction Type,GPT Output,FKGL Score,SMOG Score,Flesch Ease,Reverse-Translated Output,Notes
Cataract Surgery,English,5th Grade,1,Post-Op,"**Cataract Surgery: Care Instructions**
 

 Hello! Here’s how to take care of yourself after your eye surgery. Please follow these steps to heal well.
 

 **1) Wound Care**
 

 - **Do not rub your eye.** This can hurt your eye as it heals.
 - **Use the eye drops.** Your doctor gave you eye drops to help with healing. Use them as told.
 - **Keep your eye clean.** Wash your hands before touching your face. Use a clean, soft cloth to gently dab around your eye if needed.
 

 **2) Pain Management**
 

 - **Take medicine if you feel pain.** The doctor may have given you medicine for pain. Use it as directed.
 - **Use a cool, damp cloth.** If your eye feels sore, you can gently place a cool cloth on it for comfort.
 

 **3) Activity Restrictions**
 

 - **Rest your eye.** Do not watch TV, use computers, or read for long periods.
 - **Avoid heavy lifting.** Do not lift anything heavier than a gallon of milk.
 - **Wear your eye shield.** Use the eye shield while sleeping to protect your eye.
 

 **4) Diet**
 

 - **Eat normally.** You can eat your regular meals.
 - **Drink plenty of water.** Staying hydrated helps your body heal.
 

 **5) When to Call the Doctor (Red Flag Symptoms)**
 

 Call your doctor right away if you notice:
 

 - **Severe pain** in your eye that does not go away with medicine.
 - **Sudden vision changes** like blurriness or seeing flashes of light.
 - **Redness or swelling** that gets worse.
 - **Fluid leaking** from your eye.
 - **Fever** over 100.4°F (38°C).
 

 **6) Follow-Up Instructions**
 

 - **Keep your appointment.** Go to your follow-up visit with the eye doctor. This is important to check how your eye is healing.
 

 Remember, healing takes time. Be gentle with yourself and follow these instructions. If you have any questions, call your doctor. They are there to help you.",,,,,
Cataract Surgery,English,5th Grade,1,Pre-Op,"**Cataract Surgery: What You Need to Know**
 

 **1) What the Procedure Is**
 

 - Cataract surgery is an operation to remove a cloudy lens in your eye.
 - The doctor takes out the cloudy lens and puts in a clear, artificial lens.
 - This helps you see better.
 

 **2) Why It Is Needed**
 

 - You need cataract surgery if you have a cataract.
 - A cataract is a cloudy spot in your eye that makes it hard to see things clearly.
 - It can make things look blurry or like there is a fog in front of your eyes.
 

 **3) Risks and Complications**
 

 - Most people do well, but all surgeries have some risks.
 - Possible risks include:
  - Eye infection
  - Bleeding
  - Swelling
  - Vision changes
  - Needing more surgery
 - The doctor will do everything to keep you safe.
 

 **4) Benefits**
 

 - Clearer vision: Objects will look sharper and brighter.
 - Easier to do everyday activities, like reading or driving.
 - Better quality of life.
 

 **5) Alternatives (Including Doing Nothing)**
 

 - Glasses or stronger lights might help for a while.
 - Doing nothing means the cataract could get worse over time.
 - You can wait if the cataract is not too bad yet.
 

 **6) Recovery Expectations**
 

 - You might need someone to help you after the surgery.
 - Your eye might feel scratchy or look red for a few days.
 - The doctor will give you eye drops to help your eye heal.
 - You should be careful not to rub or press on your eye.
 

 **7) Patient Rights**
 

 - You have the right to ask questions about the surgery.
 - It's okay to say no or ask for more information.
 - You can talk to your doctor about any worries you have.
 

 Remember, you are in control of your health decisions. Your doctor is there to help you understand and make the best choice for you.",,,,,
Cataract Surgery,English,5th Grade,2,Post-Op,"**Cataract Surgery: How to Take Care of Yourself After Surgery**
 

 Hello! Here’s how to take care of your eye after your cataract surgery. Follow these steps to help your eye heal well.
 

 ---
 

 **Wound Care**
 

 - **Keep Your Eye Clean:** Do not touch or rub your eye. Use the eye drops your doctor gave you.
 - **Wear Your Eye Shield:** Put on the eye shield when you sleep to protect your eye.
 - **No Water in Your Eye:** Be careful when washing your face. Don't let water get in your eye.
 

 ---
 

 **Pain Management**
 

 - **Take Your Medicine:** If your eye hurts, you can take medicine like Tylenol. Ask your doctor how much to take.
 - **Cool Compress:** If your eye feels sore, gently place a cool, damp cloth on it for relief.
 

 ---
 

 **Activity Restrictions**
 

 - **Rest Your Eye:** Try not to bend over or lift heavy things. This can hurt your eye.
 - **Avoid Dusty Areas:** Stay away from places with a lot of dust and dirt.
 - **No Swimming:** Don’t go swimming until your doctor says it’s okay.
 

 ---
 

 **Diet**
 

 - **Eat Normally:** You can eat your regular meals. Drinking lots of water can help you feel better.
 - **Avoid Alcohol:** Don’t drink alcohol right after surgery as it might not mix well with your medicine.
 

 ---
 

 **When to Call the Doctor (Red Flag Symptoms)**
 

 Call your doctor if you notice any of these things:
 

 - **Severe Pain:** If your eye hurts a lot and does not get better with medicine.
 - **Vision Changes:** If you suddenly can’t see well or see flashing lights.
 - **Redness or Swelling:** If your eye gets very red or swollen.
 - **Discharge:** If something is leaking from your eye.
 - **Fever:** If you feel very hot or have a fever.
 

 ---
 

 **Follow-Up Instructions**
 

 - **Doctor’s Appointment:** Make sure to go to your follow-up appointment. This helps the doctor check if your eye is healing well.
 

 ---
 

 Remember, take it easy and follow these steps to help your eye get better soon. If you have any questions, don’t hesitate to call your doctor. They are there to help you!",,,,,
Cataract Surgery,English,5th Grade,2,Pre-Op,"**1) What the Procedure Is**
 

 - Cataract surgery is an operation on your eye.
 - The doctor will remove the cloudy lens from your eye.
 - The cloudy lens is called a cataract.
 - The doctor will replace it with a new, clear lens.
 

 **2) Why It Is Needed**
 

 - Cataracts make it hard to see clearly.
 - They can make things look blurry or foggy.
 - Surgery helps you see better again.
 

 **3) Risks and Complications**
 

 - Surgery can have risks, like any operation.
 - You might get an infection.
 - Your eye might hurt or feel sore.
 - You might see double or have blurry vision for a while.
 - Very rarely, surgery could damage your eye.
 

 **4) Benefits**
 

 - You will be able to see more clearly.
 - Colors will look brighter.
 - You can do your daily activities better.
 

 **5) Alternatives (Including Doing Nothing)**
 

 - You can try stronger glasses or contact lenses.
 - You can use brighter lights when reading.
 - You can choose not to have surgery, but your vision may get worse over time.
 

 **6) Recovery Expectations**
 

 - Most people go home the same day.
 - You will need someone to drive you home.
 - Your eye may feel itchy or uncomfortable for a few days.
 - You will need to use eye drops to help heal your eye.
 - Avoid rubbing your eye or lifting heavy things until the doctor says it’s okay.
 

 **7) Patient Rights**
 

 - You have the right to ask questions about the surgery.
 - You can say yes or no to the surgery.
 - It’s important to understand everything before you decide.
 

 Feel free to talk to your doctor if you have any questions or worries. They are there to help you!",,,,,
Cataract Surgery,English,5th Grade,3,Post-Op,"**Post-Operative Instructions for Cataract Surgery**
 

 **1) Wound Care**  
 - **Do not rub your eye.** It might feel itchy, but rubbing can hurt it.  
 - **Keep your eye clean and dry.** Use a clean tissue to gently wipe away any tears.  
 - **Wear the eye shield.** Wear it while you sleep for at least a week. It protects your eye.  
 - **Use eye drops as directed.** These help your eye heal. Follow the schedule your doctor gave you.
 

 **2) Pain Management**  
 - **Take medicine if your eye hurts.** Use over-the-counter pain relievers like acetaminophen (Tylenol).  
 - **Do not take aspirin.** It can cause bleeding.  
 

 **3) Activity Restrictions**  
 - **Rest your eyes.** Avoid watching TV or using screens for long periods.  
 - **No heavy lifting or bending.** This can put pressure on your eye.  
 - **Avoid swimming.** Wait at least two weeks before going into a pool or hot tub.  
 

 **4) Diet**  
 - **Eat your normal meals.** There are no special diet rules after surgery.  
 - **Drink plenty of water.** Staying hydrated helps you heal.  
 

 **5) When to Call the Doctor (Red Flag Symptoms)**  
 - **Call if you have severe pain.** This is not normal and needs a doctor’s attention.  
 - **Watch for vision changes.** If your sight gets worse, call your doctor.  
 - **Look for redness or swelling.** If your eye gets red or puffy, contact your doctor.  
 - **Report any discharge.** If fluid comes out of your eye, let your doctor know.  
 

 **6) Follow-Up Instructions**  
 - **Attend all follow-up appointments.** These are important to make sure your eye is healing well.  
 - **Bring your medications.** Show them to your doctor so they can check how you’re using them.  
 

 Follow these instructions to help your eye heal well. If you have any questions or worries, call your doctor. They are there to help you.",,,,,
Cataract Surgery,English,5th Grade,3,Pre-Op,"**Cataract Surgery: What You Need to Know**
 

 **What the Procedure Is**
 

 - You have a cataract in your eye. It's a cloudy area that makes it hard to see clearly.
 - Cataract surgery is a way to remove this cloudy area.
 - The doctor will take out the cloudy part and put in a clear, new lens.
 

 **Why It Is Needed**
 

 - Cataracts make your vision blurry or foggy.
 - Surgery can help you see better and make daily activities like reading or driving easier.
 

 **Risks and Complications**
 

 - Like any surgery, there are some risks.
 - You might have an infection, bleeding, or see double.
 - Some people might have more trouble seeing clearly after surgery.
 - These complications are rare.
 

 **Benefits**
 

 - Most people see much better after surgery.
 - Colors may look brighter, and you can enjoy activities more.
 

 **Alternatives**
 

 - You can try stronger glasses or magnifying lenses.
 - Doing nothing means your vision might stay the same or get worse.
 - Only you can decide what's best for you.
 

 **Recovery Expectations**
 

 - You might have a patch over your eye right after surgery.
 - Your eye may feel scratchy for a few days.
 - Most people can go back to normal activities in a week or so.
 

 **Patient Rights**
 

 - You have the right to ask questions and understand all parts of this surgery.
 - You can say no to surgery if you decide it's not right for you.
 - Always feel free to talk to your doctor about any worries.",,,,,
Cataract Surgery,English,8th Grade,1,Post-Op,"**Post-Operative Instructions for Cataract Surgery**
 

 Congratulations on completing your cataract surgery! Here’s how to take care of yourself at home.
 

 ---
 

 **Wound Care**
 

 - **Keep Your Eye Clean:** Gently clean around your eye with a clean, damp cloth. Avoid touching your eye directly.
 - **Use Eye Drops:** Use the eye drops your doctor prescribed. Follow the schedule they gave you.
 - **No Rubbing:** Do not rub or press on your eye.
 

 ---
 

 **Pain Management**
 

 - **Expect Mild Discomfort:** Some soreness or itchiness is normal.
 - **Use Pain Relievers if Needed:** Take over-the-counter pain medicine like acetaminophen (Tylenol) if you feel uncomfortable. Follow the instructions on the package.
 

 ---
 

 **Activity Restrictions**
 

 - **Take It Easy:** Rest as much as possible for the first few days.
 - **Avoid Heavy Lifting:** Do not lift anything heavier than 10 pounds.
 - **No Swimming:** Stay out of pools, hot tubs, and saunas until your doctor says it's okay.
 - **Be Careful with Exercise:** Avoid strenuous activities and bending over too much.
 

 ---
 

 **Diet**
 

 - **Eat Normally:** You can eat your regular diet unless your doctor tells you otherwise.
 - **Stay Hydrated:** Drink plenty of water each day.
 

 ---
 

 **When to Call the Doctor (Red Flag Symptoms)**
 

 Call your doctor right away if you notice any of these:
 

 - Severe pain in your eye
 - Vision getting worse or is very blurry
 - Redness that gets worse
 - Pus or unusual fluid coming from your eye
 - Feeling very sick, like having a fever
 

 ---
 

 **Follow-Up Instructions**
 

 - **Next Appointment:** Make sure to attend your follow-up appointment. It’s important for checking your eye’s healing.
 - **Bring Questions:** Write down any questions or concerns to discuss with your doctor during your visit.
 

 Take care and follow these steps to help your eye heal well. If you have any concerns, don’t hesitate to call your doctor.",,,,,
Cataract Surgery,English,8th Grade,1,Pre-Op,"**Cataract Surgery: A Simple Guide**
 

 **1) What the Procedure Is**  
 Cataract surgery is an operation to remove a cloudy lens from your eye. This cloudy lens is called a cataract. During the surgery, the doctor takes out the cloudy lens and replaces it with a clear artificial lens. It usually takes about 30 to 45 minutes and is done while you are awake. You will get medicine to help you relax and numb your eye so you won't feel pain.
 

 **2) Why It Is Needed**  
 Cataracts can make your vision blurry and cloudy. It might feel like you are looking through a foggy window. The surgery helps you see clearly again. If cataracts make it hard for you to do everyday things like reading, driving, or watching TV, your doctor may suggest this surgery.
 

 **3) Risks and Complications**  
 As with any surgery, cataract surgery has some risks. These can include:  
 - Eye infection  
 - Bleeding  
 - Swelling  
 - Eye pain  
 - Vision problems  
 - Needing another surgery  
 

 Most people do not have serious problems, but it is important to know these risks.
 

 **4) Benefits**  
 The main benefit of cataract surgery is better vision. Many people see colors more vividly and have clearer vision. This can make daily activities easier and improve your quality of life.
 

 **5) Alternatives (Including Doing Nothing)**  
 If you decide not to have surgery, your vision may get worse. You can try:  
 - Wearing stronger glasses  
 - Using brighter lights  
 - Using magnifying lenses  
 

 These alternatives might help for a while, but they won’t stop cataracts from getting worse.
 

 **6) Recovery Expectations**  
 After surgery, you will rest for a short time before you go home. Your doctor will give you eye drops to help your eye heal. You should:  
 - Rest and avoid heavy lifting  
 - Avoid rubbing your eye  
 - Wear an eye shield while sleeping  
 

 Most people feel better and see more clearly within a few days, but full healing can take a few weeks.
 

 **7) Patient Rights**  
 You have the right to:  
 - Ask questions about the surgery  
 - Understand the benefits and risks  
 - Decide not to have the surgery if you choose  
 

 Your health is important, and you should feel comfortable with your decision. Always ask your doctor if you have any questions or worries.",,,,,
Cataract Surgery,English,8th Grade,2,Post-Op,"**Post-Operative Instructions for Cataract Surgery**
 

 **Wound Care**  
 - Do not rub or press on your eye.  
 - Use the eye shield or patch as directed by your doctor, especially when sleeping.  
 - Clean your eyelids and lashes gently with a clean cloth and warm water if needed.  
 - Use eye drops as prescribed. Follow the schedule given by your doctor.
 

 **Pain Management**  
 - Mild discomfort is normal. You may use over-the-counter pain relief like acetaminophen (Tylenol).  
 - Avoid aspirin as it can increase the risk of bleeding.  
 - If pain is severe or doesn’t go away, contact your doctor.
 

 **Activity Restrictions**  
 - Avoid heavy lifting or strenuous activities for at least a week.  
 - Do not drive until your doctor says it’s okay.  
 - Avoid bending over to prevent pressure on your eye.  
 - Protect your eye from dust, dirt, and water. Wear sunglasses when outside.
 

 **Diet**  
 - You can eat your normal diet.  
 - Stay hydrated by drinking plenty of water.  
 - Avoid alcohol for at least 24 hours after surgery.
 

 **When to Call the Doctor (Red Flag Symptoms)**  
 - Call your doctor if you have:  
  - Severe pain in your eye.  
  - Vision loss or changes in vision.  
  - Increased redness or swelling around your eye.  
  - Nausea, vomiting, or severe headache.  
  - Yellow or green discharge from your eye.
 

 **Follow-Up Instructions**  
 - Attend all scheduled follow-up appointments to monitor your healing.  
 - Bring any questions or concerns to your doctor during these visits.  
 - Follow all instructions provided by your healthcare team for the best recovery.  
 

 Remember, these steps will help you heal and protect your vision. Always reach out to your healthcare provider if you are unsure about anything.",,,,,
Cataract Surgery,English,8th Grade,2,Pre-Op,"**Cataract Surgery: What You Need to Know**
 

 **1) What the Procedure Is:**
 - Cataract surgery is a simple operation to remove an eye lens that has become cloudy.
 - The doctor removes the cloudy lens and replaces it with a clear, artificial one.
 - This surgery usually takes about 30 minutes.
 

 **2) Why It Is Needed:**
 - A cataract makes your vision blurry or dim.
 - It can make it hard to see things clearly, like reading or driving.
 - Surgery can help you see better and improve your quality of life.
 

 **3) Risks and Complications:**
 - All surgeries come with some risks.
 - Possible risks include:
  - Infection
  - Bleeding
  - Swelling
  - Vision changes
  - In rare cases, loss of vision
 - Your doctor will take steps to minimize these risks.
 

 **4) Benefits:**
 - Most people see better after cataract surgery.
 - You may find it easier to do daily activities.
 - Improved vision can make you feel more independent.
 

 **5) Alternatives (Including Doing Nothing):**
 - You can choose to wear stronger glasses or use a magnifying glass.
 - You might try using brighter lights at home.
 - It's okay to choose not to have surgery, but your vision may continue to get worse.
 

 **6) Recovery Expectations:**
 - Most people go home the same day of the surgery.
 - You may need to use eye drops to help your eye heal.
 - Avoid heavy lifting or bending over for a few weeks.
 - Your doctor will check your eye to make sure it's healing well.
 

 **7) Patient Rights:**
 - You have the right to ask questions about your surgery.
 - Feel free to discuss any concerns with your doctor.
 - You have the right to say no to the surgery if you choose.
  
 Remember, your health and comfort are important. Always speak up if you don’t understand something or need more information.",,,,,
