Procedure,Language,Reading Level,Replicate,Instruction Type,GPT Output,FKGL Score,SMOG Score,Flesch Ease,Reverse-Translated Output,Notes
Cholecystectomy,English,5th Grade,1,Post-Op,"**Post-Operative Instructions for Gallbladder Surgery (Cholecystectomy)**
 

 **1) Wound Care**
 

 - **Keep It Clean**: Wash your hands before touching your wound.
 - **Check the Bandage**: Keep the bandage dry. Change it if it gets dirty or wet.
 - **No Scratching**: Avoid scratching or touching the wound.
 - **Look for Problems**: Call the doctor if you see redness, swelling, or pus.
 

 **2) Pain Management**
 

 - **Take Medicine**: Use pain medicine as the doctor told you.
 - **Stay on Schedule**: Take the medicine at the same times each day.
 - **Use a Pillow**: Hold a pillow against your belly if you need to cough or laugh.
 

 **3) Activity Restrictions**
 

 - **Rest is Important**: Take it easy for the first few days.
 - **No Heavy Lifting**: Do not lift anything heavier than a milk jug for two weeks.
 - **Walk a Little**: Short, gentle walks can help you heal.
 

 **4) Diet**
 

 - **Start Slowly**: Begin with clear liquids like water or broth.
 - **Eat Small Meals**: Try eating small, light meals for a few days.
 - **Avoid Fatty Foods**: Stay away from greasy or spicy foods.
 

 **5) When to Call the Doctor (Red Flag Symptoms)**
 

 - **High Fever**: Call if your temperature is over 101°F.
 - **Worsening Pain**: Pain that gets worse instead of better.
 - **Trouble Breathing**: If you feel short of breath or dizzy.
 - **Yellow Skin or Eyes**: This could be a sign of a problem.
 

 **6) Follow-Up Instructions**
 

 - **Doctor's Visit**: Go to your follow-up appointment in a week.
 - **Ask Questions**: Write down any questions for the doctor.
 - **Bring a Friend**: Take someone with you to the appointment if you can.",,,,,
Cholecystectomy,English,5th Grade,1,Pre-Op,"**Understanding Your Gallbladder Surgery (Cholecystectomy)**
 

 **1) What the Procedure Is:**
 

 - A cholecystectomy is an operation to take out your gallbladder.
 - The gallbladder is a small organ that helps with digestion.
 - The surgery is usually done through small cuts in your belly.
 

 **2) Why It Is Needed:**
 

 - You may need this surgery if your gallbladder has stones causing pain or infection.
 - Sometimes, it’s needed if the gallbladder is swollen or not working right.
 

 **3) Risks and Complications:**
 

 - Like all surgeries, this one has some risks. These can include:
  - Bleeding
  - Infection
  - Injury to nearby organs
  - Blood clots
  - Problems from anesthesia (the medicine that makes you sleep during surgery)
 

 **4) Benefits:**
 

 - The surgery can stop the pain from gallstones.
 - It can prevent future problems with the gallbladder.
  
 **5) Alternatives (Including Doing Nothing):**
 

 - You can choose not to have the surgery. This might mean living with pain or other issues.
 - Medicines can sometimes help, but they might not fix the problem.
 - Changing your diet to avoid certain foods can help, but it might not be enough.
 

 **6) Recovery Expectations:**
 

 - You will likely go home the same day or the next day.
 - You might feel sore for a few days.
 - Most people can return to normal activities in about a week.
 - You will need to follow your doctor’s instructions for a safe recovery.
 

 **7) Patient Rights:**
 

 - You have the right to ask any questions you have about the surgery.
 - You can say no to the surgery if you don’t want it.
 - It’s important to understand everything before you agree.
 

 Remember, it’s okay to speak up and make sure you feel comfortable with your choices. Your health and understanding are very important.",,,,,
Cholecystectomy,English,5th Grade,2,Post-Op,"**Post-Operation Instructions for Cholecystectomy**
 

 You had surgery to remove your gallbladder. Here’s how to take care of yourself at home. 
 

 ---
 

 **1) Wound Care**
 

 - **Keep It Clean:** Wash your hands before touching the wound.
 - **Bandages:** Change bandages as your doctor showed you.
 - **No Scratching:** Don't scratch or pick at the wound.
 - **Keep Dry:** Avoid getting the wound wet in the shower for the first few days. Pat it dry gently if it gets damp.
 

 ---
 

 **2) Pain Management**
 

 - **Take Medicine:** Use pain medicine as your doctor told you. 
 - **Rest:** Rest when you feel tired. Your body heals better when you rest.
 - **Ice Pack:** Use an ice pack on the area if it hurts. Wrap the ice pack in a towel first.
 

 ---
 

 **3) Activity Restrictions**
 

 - **Take It Easy:** Don’t lift anything heavy (more than 10 pounds).
 - **No Exercise:** Avoid exercise until your doctor says it's okay.
 - **Walking is Good:** Take short walks to help your body heal.
 

 ---
 

 **4) Diet**
 

 - **Start Slow:** Begin with clear liquids like soup and water.
 - **Soft Foods:** Eat soft foods like bananas, rice, or applesauce.
 - **Small Meals:** Eat small meals more often instead of big ones.
 - **Avoid Fatty Foods:** Stay away from fried or greasy foods for now.
 

 ---
 

 **5) When to Call the Doctor (Red Flag Symptoms)**
 

 - **Fever:** Call if you have a fever over 101°F.
 - **Pain:** If your pain gets worse, call the doctor.
 - **Redness or Swelling:** If the wound is red, swollen, or has pus, call right away.
 - **Nausea or Vomiting:** If you can't stop throwing up, call the doctor.
 

 ---
 

 **6) Follow-Up Instructions**
 

 - **Appointment:** Go to your follow-up visit with the doctor.
 - **Questions:** Write down any questions you have for your doctor.
 

 ---
 

 Remember, these steps will help you heal faster. If you have any worries, call your doctor. You’re doing a great job taking care of yourself!",,,,,
Cholecystectomy,English,5th Grade,2,Pre-Op,"**What the Procedure Is**
 

 A **Cholecystectomy** is an operation to take out your gallbladder. The gallbladder is a small organ that helps digest food. Doctors remove it if it causes problems.
 

 **Why It Is Needed**
 

 - You might need this surgery if you have pain from gallstones. Gallstones are hard pieces that can block the flow of bile, causing pain.
 - Sometimes, the gallbladder can get infected or inflamed, and removing it helps you feel better.
 

 **Risks and Complications**
 

 Like all surgeries, this one has risks. Here are some things that could happen:
 

 - **Infection**: You might get an infection where the surgery was done.
 - **Bleeding**: There might be bleeding during or after surgery.
 - **Injury to nearby organs**: Sometimes, nearby organs can get hurt.
 - **Blood clots**: Blood clots might form and cause problems.
 - **Problems from anesthesia**: The medicine that makes you sleep during surgery can sometimes cause issues.
 

 **Benefits**
 

 - The pain from gallstones should go away.
 - You can go back to eating normally without pain.
 - It can prevent more serious problems like infections.
 

 **Alternatives (Including Doing Nothing)**
 

 - **Medicines**: Sometimes, medicine can help, but it might not fix the problem.
 - **Watch and wait**: You can wait to see if the pain goes away, but it might come back.
 - **Diet changes**: Eating a special diet might help for a while, but usually isn't a long-term fix.
 - **Doing nothing**: If you do nothing, the pain might get worse or cause more problems.
 

 **Recovery Expectations**
 

 - You will stay in the hospital for a short time.
 - You might feel sore and tired after the surgery.
 - Most people go back to normal activities in about 1 to 2 weeks.
 - You will need to follow special instructions to heal well.
 

 **Patient Rights**
 

 - **Ask Questions**: You can ask the doctor any questions you have. It's important to understand what's happening.
 - **Refuse**: You can say no to the surgery if you're not comfortable. It's your choice.",,,,,
Cholecystectomy,English,5th Grade,3,Post-Op,"**Post-Operative Instructions for Gallbladder Removal Surgery**
 

 **1) Wound Care**
 

 - **Keep It Clean:** Gently wash your wound with soap and water. Pat it dry with a clean towel.
 - **No Scrubbing:** Don't scrub the area. Be gentle to avoid irritation.
 - **Bandages:** Change your bandages daily or if they get wet or dirty.
 - **Watch for Infection:** Check for redness, swelling, or pus. These can be signs of infection.
 

 **2) Pain Management**
 

 - **Take Your Medicine:** Use the pain medicine your doctor gave you. Follow the instructions on the bottle.
 - **Rest and Relax:** Rest helps your body heal. Find a comfortable place to relax.
 - **Use Ice:** Put an ice pack on the sore area for 15-20 minutes. This can help with swelling and pain.
 

 **3) Activity Restrictions**
 

 - **Limit Movements:** Avoid lifting heavy things (like groceries or laundry) for a few weeks.
 - **Take It Easy:** Walk slowly and rest often. Avoid running or jumping.
 - **No Driving:** Don’t drive until your doctor says it’s okay.
 

 **4) Diet**
 

 - **Start Slow:** Begin with light foods like soup, toast, or applesauce.
 - **Avoid Fatty Foods:** Stay away from fried or greasy foods. They can upset your stomach.
 - **Stay Hydrated:** Drink plenty of water. It helps your body heal.
 

 **5) When to Call the Doctor (Red Flag Symptoms)**
 

 - **High Fever:** If you have a fever over 101°F, call your doctor.
 - **Severe Pain:** Pain that won’t go away with medicine needs attention.
 - **Signs of Infection:** Redness, swelling, or pus at the wound site.
 - **Vomiting:** If you can’t keep food down, contact your doctor.
 

 **6) Follow-Up Instructions**
 

 - **Doctor’s Visit:** You’ll have a follow-up appointment. Make sure to attend. 
 - **Questions:** Write down any questions you have for your doctor. Bring them to your appointment.
 

 These steps will help you recover safely at home. If you have any questions or concerns, don’t hesitate to reach out to your healthcare provider.",,,,,
Cholecystectomy,English,5th Grade,3,Pre-Op,"**Understanding Your Gallbladder Surgery (Cholecystectomy)**
 

 **1) What the Procedure Is:**
 - You will have a surgery called a Cholecystectomy.
 - The doctor will remove your gallbladder, which is a small organ near your stomach.
 

 **2) Why It Is Needed:**
 - Your gallbladder might be causing you pain or making you sick.
 - It can have hard stones inside (called gallstones) that can block or hurt it.
 

 **3) Risks and Complications:**
 - Like all surgeries, there are some risks.
 - You might have bleeding, infection, or feel pain after the surgery.
 - There could be a small chance of injury to nearby organs.
 

 **4) Benefits:**
 - This surgery can stop the pain and sickness caused by your gallbladder.
 - You can go back to your normal activities without gallbladder problems.
 

 **5) Alternatives (Including Doing Nothing):**
 - You can choose not to have the surgery, but your pain might not go away.
 - Taking medicine or changing your diet might help, but it may not fix the problem.
 - Talk to your doctor about what is best for you.
 

 **6) Recovery Expectations:**
 - After the surgery, you will rest in the hospital for a short time.
 - You may feel sore and tired, but you will get better every day.
 - Most people go home the same day or the next day.
 - You will need to take it easy for a few weeks.
 

 **7) Patient Rights:**
 - You have the right to ask questions about your surgery.
 - You can say no to the surgery if you change your mind.
 - The doctor is here to help you understand everything.
 

 **Remember:**
 - It’s okay to ask questions if you don’t understand something.
 - Your health and comfort are very important to us.",,,,,
Cholecystectomy,English,8th Grade,1,Post-Op,"**Post-Operative Instructions for Gallbladder Removal Surgery (Cholecystectomy)**
 

 **Wound Care**
 

 - **Keep the Area Clean and Dry:** Gently wash the area with soap and water. Pat it dry. 
 - **Dressings:** Change your bandages as your doctor told you. 
 - **Avoid Scratching or Picking:** Let scabs form and heal on their own. 
 

 **Pain Management**
 

 - **Take Your Medicine:** Use pain medication as directed by your doctor. Don't wait until the pain is severe.
 - **Try a Warm Compress:** Use a warm (not hot) towel to help ease discomfort.
 - **Rest When Needed:** Listen to your body and take breaks to help manage pain.
 

 **Activity Restrictions**
 

 - **Limit Lifting:** Avoid lifting heavy objects (over 10 pounds) for at least two weeks.
 - **Avoid Strenuous Activity:** Skip intense exercise or sports until your doctor says it's okay.
 - **Walk Daily:** Gentle walking helps with healing. Increase distance gradually.
 

 **Diet**
 

 - **Start with Clear Liquids:** Begin with clear soups, apple juice, or tea.
 - **Gradually Add Foods:** Slowly include bland foods like rice, toast, or bananas.
 - **Avoid Fatty Foods:** Stay away from fried or greasy foods until your doctor approves.
 

 **When to Call the Doctor (Red Flag Symptoms)**
 

 - **Fever Over 101°F (38.3°C):** This could mean an infection.
 - **Unexpected Pain:** Severe or worsening pain not helped by medication.
 - **Redness or Swelling:** Around the wound area that gets worse.
 - **Yellowing of Skin or Eyes:** This could be a sign of a liver problem.
 - **Nausea or Vomiting:** Especially if you can't keep liquids down.
 

 **Follow-Up Instructions**
 

 - **Schedule Your Follow-Up Visit:** Make sure to see your doctor as scheduled to check your healing.
 - **Write Down Questions:** Bring any questions or concerns to your next appointment.
 - **Keep a Recovery Diary:** Note symptoms and progress to discuss with your doctor.
 

 Remember, healing takes time. Be gentle with yourself and follow these instructions to help ensure a smooth recovery.",,,,,
Cholecystectomy,English,8th Grade,1,Pre-Op,"**Understanding Your Cholecystectomy Surgery**
 

 **1) What the Procedure Is:**
 

 A cholecystectomy is a surgery to take out your gallbladder. The gallbladder is a small organ under your liver. It stores bile, which helps your body digest food.
 

 **2) Why It Is Needed:**
 

 You might need this surgery if:
 

 - Your gallbladder has stones (called gallstones) that cause pain or infection.
 - Your gallbladder is not working right and causing problems.
 

 **3) Risks and Complications:**
 

 Every surgery has risks. Here are some for this surgery:
 

 - Infection where the surgery is done.
 - Bleeding during or after the surgery.
 - Injury to nearby organs like the liver or intestines.
 - Blood clots in your legs or lungs.
 - Problems from anesthesia (the medicine that makes you sleep during surgery).
 

 **4) Benefits:**
 

 The main benefit is feeling better. Taking out the gallbladder usually stops pain and prevents future problems caused by gallstones.
 

 **5) Alternatives (Including Doing Nothing):**
 

 You have choices:
 

 - Medicines to help with pain and reduce symptoms.
 - Changes in diet to avoid fatty foods that can trigger pain.
 - Doing nothing and waiting to see if it gets better (but this might lead to more problems).
 

 **6) Recovery Expectations:**
 

 After surgery:
 

 - You will stay in the hospital for a short time.
 - You might feel sore and need pain medicine.
 - Most people can go back to normal activities in a week or two.
 - You will need to avoid heavy lifting for a few weeks.
 

 **7) Patient Rights:**
 

 You have the right to:
 

 - Ask questions if you don’t understand something.
 - Say no to the surgery if you don’t want it.
 - Get a second opinion from another doctor.
 

 Your health and comfort are important. Make sure you feel okay with your choices.",,,,,
Cholecystectomy,English,8th Grade,2,Post-Op,"**Post-Operative Instructions for Gallbladder Removal (Cholecystectomy)**
 

 Hello! We want to help you recover smoothly after your gallbladder surgery. Here’s some easy-to-follow advice. If you have any questions or concerns, please reach out to your healthcare provider.
 

 **1) Wound Care**
 - **Keep it Clean and Dry:** Make sure your wound stays clean and dry. You can gently wash around the area with soap and water. Pat dry.
 - **Dressing Changes:** Follow your doctor’s instructions about changing bandages. Don’t touch the wound directly.
 - **Avoid Creams and Lotions:** Do not apply creams or lotions to your wound unless your doctor says it’s okay.
 

 **2) Pain Management**
 - **Take Medication as Prescribed:** Follow your doctor’s instructions for pain medicine. Don’t wait until the pain is severe.
 - **Use a Pillow:** If you need to cough or sneeze, hold a pillow gently against your stomach to ease discomfort.
 - **Rest:** Get plenty of rest. It’s important for healing.
 

 **3) Activity Restrictions**
 - **Avoid Heavy Lifting:** Do not lift anything heavy for at least 2 weeks. This includes groceries and children.
 - **Take Short Walks:** Walking helps you heal. Start with short walks and gradually increase as you feel better.
 - **No Driving:** Avoid driving until your doctor says you can. Usually, you can drive once you stop taking pain meds.
 

 **4) Diet**
 - **Start Slow:** Begin with light foods like toast, rice, or applesauce. Gradually return to your normal diet.
 - **Avoid Fatty Foods:** Stay away from greasy or spicy foods. They can upset your stomach.
 - **Stay Hydrated:** Drink plenty of water. It helps your body recover.
 

 **5) When to Call the Doctor (Red Flag Symptoms)**
 - **Fever:** Call your doctor if you have a fever over 101°F (38.3°C).
 - **Severe Pain:** If your pain doesn’t get better with medicine, call your doctor.
 - **Swelling or Redness:** Watch for increased swelling or redness around your wound.
 - **Yellow Skin or Eyes:** If you notice a yellow tint, contact your doctor.
 

 **6) Follow-Up Instructions**
 - **Schedule a Doctor’s Visit:** You need a follow-up appointment to check your healing. Call the office if you don’t have one set up.
 - **Bring Questions:** Write down any questions you have for your doctor and bring them to your visit.
 

 Take care and know we are here for you. Healing takes time, so be gentle with yourself. Reach out if you need support or have any questions.",,,,,
Cholecystectomy,English,8th Grade,2,Pre-Op,"**Understanding Your Gallbladder Surgery (Cholecystectomy)**
 

 **1) What the Procedure Is:**
 - A Cholecystectomy is a surgery to remove your gallbladder.
 - The gallbladder is a small organ near your stomach that helps digest food.
 

 **2) Why It Is Needed:**
 - You may need this surgery if you have gallstones, which are hard pieces that can cause pain.
 - It can also help if your gallbladder is infected or not working well.
 

 **3) Risks and Complications:**
 - Every surgery has some risks. These can include:
  - Infection (getting germs in your body)
  - Bleeding
  - Injury to nearby organs
  - Blood clots (blood getting stuck in your veins)
  - Allergic reactions to medicine
 - Most people do not have these problems, but it is important to know they can happen.
 

 **4) Benefits:**
 - The surgery can stop the pain and problems caused by gallstones.
 - Removing the gallbladder can help you feel better and improve your digestion.
 

 **5) Alternatives (Including Doing Nothing):**
 - You can try medicines to dissolve gallstones, but they might not work for everyone.
 - Changing your diet might help prevent pain.
 - You can choose not to have surgery, but the pain and problems may continue.
 

 **6) Recovery Expectations:**
 - Most people go home the same day or the day after the surgery.
 - You might feel sore for a few days.
 - It’s important to rest and follow your doctor’s instructions for getting better.
 

 **7) Patient Rights:**
 - You have the right to ask questions and get clear answers.
 - You can say yes or no to the surgery.
 - You can talk to your doctor about any worries you have.
 

 **Remember:**
 This is your body and your choice. It's okay to ask questions until you understand everything.",,,,,
Cholecystectomy,English,8th Grade,3,Post-Op,"**Cholecystectomy Post-Operative Instructions**
 

 A cholecystectomy is a surgery to remove your gallbladder. Here’s how to take care of yourself at home after surgery.
 

 ---
 

 **Wound Care**
 

 - **Keep it Clean:** Gently wash your wound with soap and water. Pat dry with a clean towel.
 - **Bandages:** Change your bandage if it gets wet or dirty. Follow your doctor's instructions about how often to change it.
 - **No Scrubbing:** Don’t scrub the wound. Be gentle to avoid irritation.
 

 **Pain Management**
 

 - **Take Medicine:** Use the pain medicine your doctor gave you. Follow the instructions on the bottle.
 - **Rest and Relax:** Rest when you need it. This helps your body heal.
 - **Ice Packs:** If your doctor says it’s okay, use an ice pack on the sore area for 15-20 minutes at a time to help reduce pain.
 

 **Activity Restrictions**
 

 - **Take it Easy:** Avoid heavy lifting, pushing, or pulling for at least two weeks. This means no lifting anything heavier than a gallon of milk.
 - **Slow and Steady:** Start with light activities like walking. Increase your activity slowly.
 - **Avoid Driving:** Don’t drive until your doctor says it’s safe and you aren’t taking pain medicine that makes you drowsy.
 

 **Diet**
 

 - **Start Slow:** Begin with light foods like toast, rice, or applesauce.
 - **Avoid Fatty Foods:** Stay away from greasy or spicy foods. They can upset your stomach.
 - **Stay Hydrated:** Drink plenty of water. It helps your body recover.
 

 **When to Call the Doctor (Red Flag Symptoms)**
 

 - **Fever:** Call if you have a fever over 101°F (38.3°C).
 - **Wound Problems:** If your wound is red, swollen, or has pus, contact your doctor.
 - **Severe Pain:** If your pain gets worse or doesn’t improve with medicine, let your doctor know.
 - **Nausea or Vomiting:** If you can’t keep food down, call your doctor.
 - **Yellow Skin or Eyes:** If your skin or the whites of your eyes turn yellow, seek medical help.
 

 **Follow-Up Instructions**
 

 - **Doctor's Visit:** You’ll need to see your doctor for a follow-up appointment. Check the date and time.
 - **Ask Questions:** Write down any questions you have for your doctor. Bring them to your follow-up visit.
 - **Medicine Review:** Bring a list of all medicines you are taking to your next appointment.
 

 Take good care of yourself. Healing takes time, and following these steps can help you recover well. If you have any questions or worries, don’t hesitate to reach out to your healthcare provider.",,,,,
Cholecystectomy,English,8th Grade,3,Pre-Op,"**Understanding Your Cholecystectomy Surgery**
 

 A cholecystectomy is a surgery to remove your gallbladder. Here is a simple guide to help you understand what it means and what to expect.
 

 ---
 

 **What the Procedure Is**
 

 - **Cholecystectomy**: This is a surgery where doctors remove your gallbladder. The gallbladder is a small organ near your liver that helps digest food.
 

 ---
 

 **Why It Is Needed**
 

 - **Gallstones**: These are hard pieces that can cause pain or block your gallbladder.
 - **Infection or Inflammation**: Your gallbladder might be swollen or infected, which can make you very sick.
 - **Pain Relief**: Removing the gallbladder can help stop belly pain caused by these problems.
 

 ---
 

 **Risks and Complications**
 

 All surgeries have risks. Here are some possible risks with a cholecystectomy:
 

 - **Infection**: There is a small chance of getting an infection.
 - **Bleeding**: Some bleeding might happen during the surgery.
 - **Injury to Nearby Areas**: Sometimes, other parts like the liver or intestines might be affected.
 - **Reaction to Anesthesia**: You might have an allergic reaction to the medicine that makes you sleep during surgery.
 

 ---
 

 **Benefits**
 

 - **Pain Goes Away**: You may feel much better and have less pain after your gallbladder is removed.
 - **Prevents Problems**: It stops future gallbladder attacks and problems.
 

 ---
 

 **Alternatives (Including Doing Nothing)**
 

 - **Medicine**: Sometimes, doctors can give you medicine to treat symptoms.
 - **Diet Changes**: Eating different foods might help prevent problems.
 - **Watchful Waiting**: You might choose to wait and see if your symptoms improve.
 - **Doing Nothing**: You can decide not to have surgery, but it might mean the pain or other problems continue.
 

 ---
 

 **Recovery Expectations**
 

 - **Going Home**: Most people go home the same day or the next day.
 - **Rest**: You will need to rest and avoid heavy lifting for a few weeks.
 - **Return to Normal**: You can usually go back to work and normal activities in about 1 to 2 weeks.
 

 ---
 

 **Patient Rights**
 

 - **Ask Questions**: You have the right to ask as many questions as you need to feel comfortable.
 - **Refuse the Procedure**: You can choose not to have the surgery if you decide it's not right for you.
 

 ---
 

 Remember, it's important to talk with your doctor about any worries you have. They are there to help you understand and make the best decision for your health.",,,,,
