Procedure,Language,Reading Level,Replicate,Instruction Type,GPT Output,FKGL Score,SMOG Score,Flesch Ease,Reverse-Translated Output,Notes
Tonsillectomy,English,5th Grade,1,Post-Op,"**Wound Care**
 

 - **Keep Your Throat Clean:** Rinse your mouth gently with warm salt water several times a day to keep your throat clean.
 - **Avoid Touching:** Do not touch the back of your throat where the surgery was done.
 

 **Pain Management**
 

 - **Take Your Medicine:** Take the pain medicine your doctor gave you. It will help you feel better.
 - **Ice Packs Help:** Put an ice pack on your neck for 15-20 minutes to ease the pain. You can do this several times a day.
 

 **Activity Restrictions**
 

 - **Rest is Best:** Stay home and rest for at least a week. Avoid running or playing hard.
 - **No Heavy Lifting:** Do not lift heavy things or do any hard exercise for two weeks.
 

 **Diet**
 

 - **Start with Soft Foods:** Eat soft foods like mashed potatoes, yogurt, and soup. Avoid hard or crunchy foods.
 - **Drink Plenty of Liquids:** Drink lots of water, juice, or popsicles. Stay away from hot drinks and sodas.
 

 **When to Call the Doctor (Red Flag Symptoms)**
 

 - **High Fever:** Call the doctor if you have a fever over 101°F.
 - **Bleeding:** If you see any bleeding from your mouth or nose, contact the doctor right away.
 - **Severe Pain:** If the pain gets worse even after taking medicine, call the doctor.
 - **Dehydration Signs:** If you are not peeing much or feel very thirsty, let the doctor know.
 

 **Follow-Up Instructions**
 

 - **Doctor's Visit:** You will need to see the doctor again in a week or two. Make sure to go to this appointment.
 - **Write Down Questions:** If you have any questions, write them down and ask the doctor at your visit.",,,,,
Tonsillectomy,English,5th Grade,1,Pre-Op,"**Tonsillectomy: Understanding Your Surgery**
 

 **1) What the Procedure Is**
 

 - A tonsillectomy is a surgery to remove your tonsils.
 - Tonsils are small, round lumps in the back of your throat.
 - They help fight germs, but sometimes they can cause problems.
 

 **2) Why It Is Needed**
 

 - If your tonsils keep getting infected (like having frequent sore throats).
 - If they are very big and make it hard for you to breathe or swallow.
 - Your doctor thinks this surgery will help you feel better.
 

 **3) Risks and Complications**
 

 - Every surgery has some risks. Here are a few for tonsillectomy:
  - Sore throat for a few days after the surgery.
  - Bleeding might happen after the surgery.
  - You may feel sick to your stomach or throw up.
 - The doctor and nurses will watch you closely to keep you safe.
 

 **4) Benefits**
 

 - You might get fewer sore throats.
 - Breathing and swallowing might be easier.
 - Sleeping might get better if you had trouble before.
 

 **5) Alternatives (Including Doing Nothing)**
 

 - You can try medicine to help with infections.
 - Wait and see if the problem gets better over time.
 - Doing nothing is also an option, but you might still have problems.
 

 **6) Recovery Expectations**
 

 - You will wake up in the hospital after the surgery.
 - You might stay there for a few hours or overnight.
 - It's normal to have a sore throat and need rest for about a week.
 - Soft foods and lots of drinks will help you heal.
 

 **7) Patient Rights**
 

 - You can ask as many questions as you need to feel comfortable.
 - You have the right to say ""no"" to the surgery if you don't want it.
 

 Remember, it's important to talk to your doctor about any questions or worries you have. They are there to help you make the best decision for your health.",,,,,
Tonsillectomy,English,5th Grade,2,Post-Op,"**Post-Operative Instructions for Tonsillectomy**
 

 Hello! We want to help you heal quickly and safely after your tonsil surgery. Please read these instructions carefully and follow them at home.
 

 ---
 

 **1) Wound Care**
 

 - **No Touching**: Don't touch or poke the back of your throat.
 - **No Gargling**: Avoid gargling mouthwash or water.
 - **Gentle Brushing**: Brush your teeth gently to keep your mouth clean.
 

 ---
 

 **2) Pain Management**
 

 - **Take Your Medicine**: Use pain medicine as the doctor said. It helps you feel better.
 - **Ice Packs**: Put an ice pack on your neck if it hurts. Do this for 15 minutes at a time.
 - **Drink Cold Drinks**: Cold drinks can help soothe your throat.
 

 ---
 

 **3) Activity Restrictions**
 

 - **Rest Up**: Take it easy for the first week. No running or playing hard.
 - **No School or Work**: Stay home from school or work until the doctor says it's okay.
 - **No Swimming**: Avoid swimming for two weeks.
 

 ---
 

 **4) Diet**
 

 - **Drink Lots of Water**: Keep drinking water to stay hydrated.
 - **Soft Foods**: Eat soft foods like applesauce, yogurt, or mashed potatoes.
 - **Avoid Hard Foods**: Stay away from hard or crunchy foods like chips and popcorn.
 

 ---
 

 **5) When to Call the Doctor (Red Flag Symptoms)**
 

 Call the doctor right away if you notice any of these:
 

 - **Bleeding**: If you see blood in your mouth.
 - **Fever**: If your temperature goes over 101°F.
 - **Dehydration**: If you're not peeing much or feel very thirsty.
 - **Severe Pain**: If the pain gets much worse or doesn't go away with medicine.
 

 ---
 

 **6) Follow-Up Instructions**
 

 - **Doctor Visit**: You need to see the doctor for a check-up. The appointment is usually in 1-2 weeks.
 - **Questions?**: If you have any questions or concerns, call the doctor's office.
 

 ---
 

 We hope you feel better soon! Remember, following these steps helps you heal faster.",,,,,
Tonsillectomy,English,5th Grade,2,Pre-Op,"**Understanding Your Tonsillectomy**
 

 **1) What the Procedure Is:**
 - A tonsillectomy is a surgery to remove your tonsils.
 - Tonsils are two small lumps in the back of your throat.
 

 **2) Why It Is Needed:**
 - You might need this surgery if you often get sore throats or have trouble breathing while sleeping.
 - Removing your tonsils can help you feel better and stay healthier.
 

 **3) Risks and Complications:**
 - Like any surgery, a tonsillectomy has some risks.
 - These include bleeding, infection, or feeling sick after surgery.
 - Most people don’t have serious problems.
 

 **4) Benefits:**
 - After the surgery, you may have fewer sore throats.
 - You might breathe better, especially at night.
 

 **5) Alternatives (Including Doing Nothing):**
 - You can choose not to have the surgery. 
 - Other treatments might include medicine or waiting to see if things get better on their own.
 - Talk to your doctor about what’s best for you.
 

 **6) Recovery Expectations:**
 - You will need some time to rest and heal after the surgery.
 - Your throat will be sore for a week or two.
 - You’ll need to eat soft foods and drink plenty of fluids.
 

 **7) Patient Rights:**
 - You have the right to ask questions about the surgery.
 - It’s okay to say no to the surgery if you don’t want it.
 - Make sure you understand everything before you decide.
 

 Remember, it’s important to talk to your doctor if you have any questions or concerns. They are there to help you make the best choice for your health.",,,,,
Tonsillectomy,English,5th Grade,3,Post-Op,"**Post-Operative Instructions for Tonsillectomy**
 

 Hello! We want to help you get better quickly and safely after your tonsil surgery. Follow these steps at home, and if you have any questions, please ask. We're here to help!
 

 ---
 

 **1) Wound Care**
 

 - **Keep your mouth clean:** Gently rinse your mouth with water after eating.
 - **No rough play with your throat:** Avoid poking or touching the back of your throat.
 

 ---
 

 **2) Pain Management**
 

 - **Take your medicine:** Use the pain medicine your doctor gave you. Follow the instructions on the bottle.
 - **Use a cold pack:** Place a cold pack on your neck for 15 minutes. This can help with pain.
 

 ---
 

 **3) Activity Restrictions**
 

 - **Rest well:** Stay quiet and calm. Avoid running, jumping, or playing sports for two weeks.
 - **No heavy lifting:** Don’t lift heavy things or do any hard tasks.
 

 ---
 

 **4) Diet**
 

 - **Drink plenty of fluids:** Water and ice pops are good choices.
 - **Eat soft foods:** Try yogurt, applesauce, and mashed potatoes. Avoid spicy, hot, or crunchy foods.
 

 ---
 

 **5) When to Call the Doctor (Red Flag Symptoms)**
 

 - **High fever:** If you have a fever over 101°F, call the doctor.
 - **Bleeding:** If you see bright red blood, call the doctor right away.
 - **Trouble breathing:** If you’re finding it hard to breathe, call the doctor immediately.
 

 ---
 

 **6) Follow-Up Instructions**
 

 - **Doctor appointment:** Make sure to go to your follow-up visit with the doctor. They will check to see how you are healing.
 

 ---
 

 **Remember:** It’s important to follow these steps to feel better soon. If you’re worried about anything, call your doctor. We’re here to help you!",,,,,
Tonsillectomy,English,5th Grade,3,Pre-Op,"**Tonsillectomy: Understanding Your Surgery**
 

 **1) What the Procedure Is**
 

 - A tonsillectomy is a surgery to take out your tonsils.
 - Tonsils are small, round lumps at the back of your throat.
 - This surgery happens in a hospital. You will be asleep and won’t feel anything.
 

 **2) Why It Is Needed**
 

 - Your doctor might suggest this surgery if:
  - Your tonsils often get infected or swollen.
  - You have trouble breathing or swallowing because of your tonsils.
  - You have other health issues caused by your tonsils.
 

 **3) Risks and Complications**
 

 - Like all surgeries, this one has some risks:
  - You might have a sore throat or feel some pain after.
  - There could be bleeding.
  - You might get an infection.
 - Doctors and nurses will watch you closely to keep you safe.
 

 **4) Benefits**
 

 - No more sore throat from infected tonsils.
 - Easier breathing and swallowing.
 - You might get sick less often.
 

 **5) Alternatives (Including Doing Nothing)**
 

 - You can take medicine to help with infections.
 - You might try waiting to see if things get better on their own.
 - It’s okay to decide not to have the surgery.
 

 **6) Recovery Expectations**
 

 - After surgery, you will rest at the hospital for a short time.
 - You might have a sore throat for a week or two.
 - Eating soft foods and drinking lots of water will help you heal.
 - You should feel better and back to normal in about two weeks.
 

 **7) Patient Rights**
 

 - You have the right to ask questions about the surgery.
 - You can say no to the surgery if you do not want it.
 - Your health and comfort are very important.
 

 Remember, it’s okay to talk to your doctor and family about your feelings and thoughts. They are there to help you make the best decision for your health.",,,,,
Tonsillectomy,English,8th Grade,1,Post-Op,"**Post-Operative Instructions for Tonsil Removal**
 

 Hello! Here is what you need to know after your tonsils have been removed. Please read these instructions carefully to help you heal well. If you have any questions, don't hesitate to ask your doctor or nurse.
 

 ---
 

 **1) Wound Care**
 

 - **Gentle Care**: Your throat might feel sore. This is normal. Be gentle when eating or drinking.
 - **Avoid Irritation**: Do not gargle or use mouthwash unless your doctor says it's okay.
 - **No Touching**: Do not touch the back of your throat with your fingers or any objects.
 

 ---
 

 **2) Pain Management**
 

 - **Medication**: Take the pain medicine your doctor gave you. Follow the label instructions.
 - **Ice Packs**: Use an ice pack on your neck for comfort. Wrap it in a towel and use for 15-20 minutes.
 - **Rest**: Rest helps your body heal. Try to sleep with your head raised on pillows.
 

 ---
 

 **3) Activity Restrictions**
 

 - **Rest is Key**: Spend the first few days resting at home.
 - **Avoid Strenuous Activities**: No running, jumping, or sports for at least 2 weeks.
 - **Slow Movements**: Get up slowly to avoid dizziness.
 

 ---
 

 **4) Diet**
 

 - **Soft Foods**: Eat soft, cool foods like yogurt, applesauce, and mashed potatoes.
 - **Stay Hydrated**: Drink plenty of water. Avoid hot drinks and spicy foods.
 - **No Straws**: Do not use straws. Sipping directly from a cup is safer.
 

 ---
 

 **5) When to Call the Doctor (Red Flag Symptoms)**
 

 - **Heavy Bleeding**: If you see a lot of blood in your mouth or nose, call the doctor right away.
 - **High Fever**: If your temperature is over 101°F, contact your doctor.
 - **Breathing Trouble**: If you have trouble breathing, it is important to seek help immediately.
 

 ---
 

 **6) Follow-Up Instructions**
 

 - **Appointment**: You need to see your doctor for a follow-up visit. Keep your appointment date and time.
 - **Questions**: Write down any questions you have for your doctor.
 

 ---
 

 Thank you for following these instructions. They will help you heal faster and feel better soon. Remember, you can always call your doctor if you have any concerns. Take care!",,,,,
Tonsillectomy,English,8th Grade,1,Pre-Op,"**What the Procedure Is**
 

 A tonsillectomy is a surgery to remove your tonsils. Tonsils are small, round pieces of tissue located at the back of your throat. They are part of your body’s defense system to fight infections.
 

 **Why It Is Needed**
 

 You might need a tonsillectomy if:
 

 - You often get sore throats or tonsillitis (swollen tonsils).
 - You have trouble breathing at night because your tonsils are too big.
 - Your tonsils keep getting infected and don't get better with medicine.
 

 **Risks and Complications**
 

 Like any surgery, a tonsillectomy has some risks. These can include:
 

 - Bleeding after surgery.
 - Infection in the area where the tonsils were removed.
 - Swelling that can affect breathing.
 - Reactions to anesthesia (medicine that makes you sleep during surgery).
 

 **Benefits**
 

 Removing your tonsils can:
 

 - Reduce the number of throat infections you get.
 - Help you breathe better, especially at night.
 - Improve your overall health by reducing infections.
 

 **Alternatives**
 

 Instead of surgery, you could:
 

 - Continue using medicines to treat infections.
 - Do nothing and wait to see if your condition improves on its own.
 

 **Recovery Expectations**
 

 After surgery, you can expect:
 

 - A sore throat for about a week or two.
 - To eat soft foods and drink plenty of fluids.
 - To take a few days off from school or work to rest.
 - To avoid strenuous activities until your doctor says it's okay.
 

 **Patient Rights**
 

 You have the right to:
 

 - Ask any questions you have about the surgery.
 - Say no to the surgery if you’re not comfortable with it.
 - Get a second opinion from another doctor if you want.
 

 Remember, it's important to talk to your doctor about any concerns you have. They are there to help you understand your options and make the best choice for your health.",,,,,
Tonsillectomy,English,8th Grade,2,Post-Op,"**Tonsillectomy Post-Operative Instructions**
 

 Having your tonsils removed is a big step towards feeling better. Here’s how to take care of yourself at home.
 

 ---
 

 **1) Wound Care**
 

 - **Keep it clean:** Don't touch your throat. Let it heal naturally. 
 - **Watch for bleeding:** A little pink saliva is normal. If it turns bright red, contact your doctor.
 

 ---
 

 **2) Pain Management**
 

 - **Take your medicine:** Use pain medicine as your doctor told you. This helps you stay comfortable.
 - **Ice packs:** Use them on your neck. It helps with swelling and pain.
 

 ---
 

 **3) Activity Restrictions**
 

 - **Rest up:** Take it easy for the first week. Your body needs to heal.
 - **No sports or heavy lifting:** Wait at least two weeks before returning to sports or heavy activities.
 

 ---
 

 **4) Diet**
 

 - **Start with soft foods:** Choose things like applesauce, yogurt, or soup. Avoid spicy or hard foods.
 - **Stay hydrated:** Drink plenty of water. Avoid drinks with caffeine or carbonation.
 

 ---
 

 **5) When to Call the Doctor (Red Flag Symptoms)**
 

 - **Fever over 101°F (38.3°C)**
 - **Bright red bleeding**
 - **Severe pain not helped by medicine**
 - **Vomiting**
 - **Trouble breathing**
 

 If any of these happen, call your doctor right away.
 

 ---
 

 **6) Follow-Up Instructions**
 

 - **Your follow-up appointment:** Make sure you know when to see the doctor again. This is important to check your healing.
 - **Write down any questions:** Bring these to your appointment. It’s okay to ask anything you’re unsure about.
 

 ---
 

 Take care, and give yourself time to heal. Follow these steps, and you’ll be on your way to feeling better soon!",,,,,
Tonsillectomy,English,8th Grade,2,Pre-Op,"**Tonsillectomy: Understanding Your Surgery**
 

 **1) What the Procedure Is:**
 - A tonsillectomy is a surgery to remove your tonsils.
 - Tonsils are two small lumps in the back of your throat.
 - The surgery is done while you are asleep, so you won’t feel anything.
 

 **2) Why It Is Needed:**
 - You might need this surgery if you have frequent sore throats or tonsillitis (swollen tonsils).
 - It can also help if your tonsils make it hard for you to breathe or swallow.
 

 **3) Risks and Complications:**
 - As with any surgery, there are some risks.
 - Possible risks include bleeding and infection.
 - You might also feel pain or discomfort after the surgery.
 - Serious problems are rare but can happen.
 

 **4) Benefits:**
 - Removing your tonsils can help you have fewer sore throats.
 - It can make breathing and swallowing easier.
 - Many people feel better and have fewer health problems after the surgery.
 

 **5) Alternatives (Including Doing Nothing):**
 - You can try medicine to treat your sore throats.
 - Some people choose not to have surgery and just manage symptoms.
 - It's important to talk about what’s best for your health with your doctor.
 

 **6) Recovery Expectations:**
 - You will need some time to heal after the surgery.
 - Most people go home the same day or the next day.
 - Expect to rest and take it easy for about a week or two.
 - You may have a sore throat and should drink plenty of fluids.
 

 **7) Patient Rights:**
 - You have the right to ask questions about your surgery.
 - It’s okay to ask your doctor to explain things until you understand.
 - You can choose not to have the surgery if you’re not comfortable with it.
 - Make sure you feel informed and ready before making a decision.
 

 Remember, you are not alone. Your medical team is there to help you through this process. Be sure to talk to them about any concerns you have.",,,,,
