Procedure,Language,Reading Level,Replicate,Instruction Type,GPT Output,FKGL Score,SMOG Score,Flesch Ease,Reverse-Translated Output,Notes
Appendectomy,English,5th Grade,1,Post-Op,"**Post-Appendectomy Care: Simple Instructions**
 

 We want to help you heal quickly and safely after your appendix surgery. Here’s what you need to do:
 

 ---
 

 **1) Wound Care**
 

 - **Keep it Clean:** Wash your hands before touching your wound.  
 - **Change Bandages:** Follow your doctor’s instructions about changing bandages.  
 - **No Scratching:** Avoid scratching your wound, even if it itches.  
 - **Keep it Dry:** Try not to get your wound too wet until your doctor says it’s okay.  
 

 ---
 

 **2) Pain Management**
 

 - **Take Your Medicine:** Use pain medicine as told by your doctor.  
 - **Rest When Needed:** Rest can help you feel better.  
 - **Use a Pillow:** Hold a pillow over your belly when you cough or sneeze. This can help with pain.  
 

 ---
 

 **3) Activity Restrictions**
 

 - **No Heavy Lifting:** Avoid lifting heavy things for a few weeks.  
 - **Take It Easy:** Avoid activities like running or jumping.  
 - **Walk Slowly:** Walking a little each day can help you get better.  
 

 ---
 

 **4) Diet**
 

 - **Start Slowly:** Begin with light foods like soup or crackers.  
 - **Drink Water:** Stay hydrated by drinking plenty of water.  
 - **Avoid Spicy Foods:** Stay away from spicy or greasy foods until you feel better.  
 

 ---
 

 **5) When to Call the Doctor (Red Flag Symptoms)**
 

 Call your doctor if you notice:  
 

 - **Fever:** A high temperature over 100.4°F (38°C).  
 - **Severe Pain:** Pain that doesn’t get better with medicine.  
 - **Redness or Swelling:** Your wound is very red or swollen.  
 - **Bad Smell or Pus:** Any bad smell or pus from your wound.  
 - **Vomiting:** If you keep vomiting and can’t keep food down.  
 

 ---
 

 **6) Follow-Up Instructions**
 

 - **Doctor Visits:** Go to your follow-up appointment to see how you’re healing.  
 - **Ask Questions:** Write down any questions you have for your doctor.  
 

 ---
 

 Take care of yourself and follow these steps to help you heal well. If you’re worried or unsure about something, don’t hesitate to reach out to your doctor. Stay safe and get well soon!",,,,,
Appendectomy,English,5th Grade,1,Pre-Op,"**What the Procedure Is**
 

 - An **appendectomy** is a surgery to remove the appendix.
 - The appendix is a small, tube-shaped organ in your belly.
 

 **Why It Is Needed**
 

 - The appendix can get swollen and infected, a condition called **appendicitis**.
 - If not treated, it can burst and cause serious health problems.
 

 **Risks and Complications**
 

 - All surgeries have risks. This one may include:
  - **Infection** at the surgery site.
  - **Bleeding** during or after the operation.
  - Possible damage to nearby organs.
 - Serious problems are rare, but they can happen.
 

 **Benefits**
 

 - Removing the infected appendix can prevent dangerous illness.
 - It helps you feel better and stops the pain.
 

 **Alternatives**
 

 - **Medicine**: Sometimes doctors try antibiotics, but it doesn’t always work.
 - **Do Nothing**: If the appendix bursts, it can be life-threatening.
 

 **Recovery Expectations**
 

 - You may stay in the hospital for a day or two.
 - Expect to feel sore and tired for a few days.
 - You will need rest, and you should avoid heavy lifting or sports for a few weeks.
 

 **Patient Rights**
 

 - You have the right to ask questions if you don’t understand something.
 - You can say no to the surgery if you choose.
 - It’s important to make the choice that’s right for you.
 

 Feel free to talk to your doctor or nurse about any concerns you have. They are there to help you.",,,,,
Appendectomy,English,5th Grade,2,Post-Op,"**Wound Care**
 

 - Keep your wound clean and dry. 
 - Gently wash the area with soap and water. Pat it dry with a clean towel.
 - Do not scrub the wound or use creams and lotions on it.
 - Change the bandage every day, or if it gets dirty or wet.
 - Watch for signs of infection like redness, swelling, or pus.
 

 **Pain Management**
 

 - You might feel some pain after your surgery. This is normal.
 - Take your pain medicine as the doctor told you. 
 - Do not wait until the pain is very bad to take your medicine.
 - If your pain gets worse or doesn’t go away, call the doctor.
 

 **Activity Restrictions**
 

 - Rest is important. Do not try to do too much.
 - Avoid heavy lifting, like carrying groceries or moving furniture.
 - Do not do any intense exercise until your doctor says it’s okay.
 - Walking is good. Walk a little every day to help your body heal.
 

 **Diet**
 

 - Start with light foods like soup, crackers, and toast.
 - Drink lots of water. It helps you heal.
 - Avoid spicy, greasy, or heavy foods for a few days.
 - If you feel sick to your stomach, eat small meals and rest.
 

 **When to Call the Doctor (Red Flag Symptoms)**
 

 - Call your doctor if you have a fever over 100.4°F (38°C).
 - If your wound is very red, swollen, or has pus, call the doctor.
 - If you have trouble breathing, go to the emergency room.
 - If you feel dizzy or faint, call your doctor.
 

 **Follow-Up Instructions**
 

 - You will need to see your doctor again to check how you are healing.
 - Make sure you know the date and time of your follow-up appointment.
 - Write down any questions you have for the doctor.
 - Bring a list of all medicines you are taking to your appointment.
 

 By following these steps, you can help your body heal and feel better after your surgery.",,,,,
Appendectomy,English,5th Grade,2,Pre-Op,"**Understanding Your Appendectomy Surgery**
 

 **1) What the Procedure Is:**
 - An appendectomy is a surgery to remove your appendix.
 - The appendix is a small, tube-like part inside your belly.
 

 **2) Why It Is Needed:**
 - The surgery is needed if your appendix is inflamed or infected, called appendicitis.
 - Removing it helps to stop pain and prevent serious health problems.
 

 **3) Risks and Complications:**
 - All surgeries have some risks.
 - You might get an infection, bleed, or have a reaction to the medicine used to make you sleep during surgery.
 - Rarely, there might be more serious problems.
 

 **4) Benefits:**
 - The main benefit is feeling better and stopping the pain.
 - It helps prevent your appendix from bursting, which can be life-threatening.
 

 **5) Alternatives (Including Doing Nothing):**
 - Sometimes doctors use medicine to try to treat the infection without surgery.
 - If you do nothing, the appendix could burst, causing more severe problems.
 

 **6) Recovery Expectations:**
 - After surgery, you will need to rest and avoid heavy activity.
 - You might feel sore or tired for a few days.
 - Most people go home the same day or the day after surgery and feel better in a week or two.
 

 **7) Patient Rights:**
 - You have the right to ask questions.
 - You can say no to the surgery if you choose.
 - It’s important to understand what will happen and why.
 

 Remember, your health is important. Talk to your doctor if you have any questions or worries.",,,,,
Appendectomy,English,5th Grade,3,Post-Op,"**Post-Appendectomy Instructions**
 

 Having your appendix removed is a common surgery. Here are some easy-to-follow steps to help you heal well at home.
 

 ---
 

 **1) Wound Care**
 

 - **Keep it Clean:** Wash your hands before touching the wound. Gently clean the area with soap and water.
 - **Keep it Dry:** Pat the area dry after cleaning. Avoid soaking in baths until your doctor says it's okay.
 - **Cover if Needed:** If your doctor gave you bandages, change them as directed. Keep them clean and dry.
 

 ---
 

 **2) Pain Management**
 

 - **Take Medicine:** Use any pain medicine your doctor gave you. Follow the instructions on the label.
 - **Rest:** Rest helps your body heal faster.
 - **Use a Pillow:** Holding a pillow against your belly when you cough or sneeze can help ease pain.
 

 ---
 

 **3) Activity Restrictions**
 

 - **Take it Easy:** Avoid heavy lifting and intense activities for a few weeks.
 - **Walk a Little:** Short, gentle walks are good. They help with blood flow and healing.
 - **Listen to Your Body:** If you feel pain, stop and rest.
 

 ---
 

 **4) Diet**
 

 - **Start Slow:** Begin with light foods like soup and toast.
 - **Stay Hydrated:** Drink plenty of water.
 - **Add More as You Feel Better:** Gradually return to your normal diet as you feel up to it.
 

 ---
 

 **5) When to Call the Doctor (Red Flag Symptoms)**
 

 Call your doctor if you notice any of these:
 

 - **Fever:** Temperature over 100.4°F
 - **Worsening Pain:** Pain that gets worse, not better
 - **Redness or Swelling:** Around the wound
 - **Discharge:** Pus or unusual fluid from the wound
 - **Trouble Breathing:** Or feeling very tired
 

 ---
 

 **6) Follow-Up Instructions**
 

 - **Appointment Reminder:** Make sure you know when your next doctor's visit is. Write it down if needed.
 - **Ask Questions:** At your follow-up, ask any questions you have about your recovery.
 

 ---
 

 Remember, healing takes time. Be patient with yourself and follow these steps. You’re on your way to feeling better!",,,,,
Appendectomy,English,5th Grade,3,Pre-Op,"**Understanding Your Appendectomy Surgery**
 

 **1) What the Procedure Is**
 

 - An **appendectomy** is a surgery to remove your appendix.
 - The appendix is a small tube-shaped organ attached to your large intestine.
 - Doctors take it out through a small cut in your belly.
 

 **2) Why It Is Needed**
 

 - Your appendix might be causing pain because it is inflamed or infected. This is called **appendicitis**.
 - If not treated, it can burst and make you very sick.
 

 **3) Risks and Complications**
 

 - Every surgery has some risks. Here are some for an appendectomy:
  - Infection where the cut is made.
  - Bleeding inside or outside your body.
  - Problems from the medicine that puts you to sleep (anesthesia).
  - Damage to other parts inside your belly.
 

 **4) Benefits**
 

 - Removing the appendix will stop the pain caused by appendicitis.
 - It will prevent the appendix from bursting and causing more serious health problems.
 

 **5) Alternatives (Including Doing Nothing)**
 

 - Taking medicine can sometimes help, but it's not a sure fix.
 - Doing nothing can be dangerous if your appendix bursts.
 - Talk to your doctor about what’s best for you.
 

 **6) Recovery Expectations**
 

 - After surgery, you will stay in the hospital for a short time.
 - You might feel sore and tired.
 - Most people feel better in a few days to a week.
 - Follow your doctor’s instructions for a safe recovery.
 

 **7) Patient Rights**
 

 - You have the right to ask questions about the surgery.
 - You can talk about any worries or concerns with your doctor.
 - You have the right to say no to the surgery if you choose.
 

 Remember, it's important to understand what will happen and to feel comfortable asking your healthcare team anything you don’t understand. They are there to help you.",,,,,
Appendectomy,English,8th Grade,1,Post-Op,"**Post-Appendectomy Instructions**
 

 Hello! We hope you're feeling better after your surgery. Here’s a simple guide to help you recover at home.
 

 **1) Wound Care**
 - **Keep it Clean**: Wash your hands before touching your wound.
 - **Check Daily**: Look at your wound every day for redness, swelling, or pus.
 - **Keep it Dry**: Avoid getting your wound wet in the shower. Pat dry if it gets wet.
 - **No Scratching**: Don't scratch or rub the wound, even if it itches.
 - **Bandages**: Change bandages as directed by your doctor, usually once a day.
 

 **2) Pain Management**
 - **Pain Medicine**: Take your pain medicine as instructed by your doctor.
 - **Rest**: Rest often to help your body heal.
 - **Heat or Cold**: Use a heating pad or ice pack if it helps with pain, but not directly on the skin.
 

 **3) Activity Restrictions**
 - **Take it Easy**: Avoid heavy lifting, sports, or vigorous activities.
 - **Walking**: Walk slowly for a few minutes each day to help your blood flow.
 - **No Driving**: Don’t drive until your doctor says it’s okay.
 

 **4) Diet**
 - **Start Slow**: Begin with clear liquids like water or broth.
 - **Add Foods**: Gradually add soft foods like mashed potatoes or applesauce.
 - **Stay Hydrated**: Drink plenty of water to help your body heal.
 

 **5) When to Call the Doctor (Red Flag Symptoms)**
 Call your doctor if you notice:
 - A fever over 100.4°F (38°C)
 - Redness, swelling, or pus from your wound
 - Severe pain not helped by medicine
 - Nausea or vomiting
 - Trouble breathing
 - No bowel movement for more than three days
 

 **6) Follow-Up Instructions**
 - **Appointment**: Make sure to attend your follow-up appointment with your doctor.
 - **Questions**: Write down any questions you have for your doctor.
 

 We wish you a smooth recovery! If you need help, don’t hesitate to reach out to your healthcare team.",,,,,
Appendectomy,English,8th Grade,1,Pre-Op,"**Appendectomy Consent Explanation**
 

 **1) What the Procedure Is:**
 

 - An appendectomy is a surgery to remove your appendix.
 - The appendix is a small pouch attached to your large intestine.
 - The surgery is done when your appendix is infected or inflamed, a condition called appendicitis.
 

 **2) Why It Is Needed:**
 

 - Appendicitis can cause pain and can be dangerous if not treated.
 - Removing the appendix helps stop the pain and prevents the infection from spreading.
 

 **3) Risks and Complications:**
 

 - All surgeries have risks. Here are some possible risks for this surgery:
  - Infection at the site of surgery
  - Bleeding
  - Damage to nearby organs
  - Reaction to anesthesia (medicine that makes you sleep during surgery)
 - Serious problems are rare, but it’s important to know about them.
 

 **4) Benefits:**
 

 - Removing the appendix will relieve pain.
 - It stops the infection from spreading to other parts of your body.
 - Most people feel a lot better after the surgery.
 

 **5) Alternatives (Including Doing Nothing):**
 

 - Sometimes, doctors try antibiotics first, but if the appendix is very infected, surgery is usually needed.
 - Doing nothing can be dangerous. The appendix can burst and cause a serious infection in your belly.
 

 **6) Recovery Expectations:**
 

 - You will likely stay in the hospital for a day or two.
 - Most people return to normal activities in a few weeks.
 - You will have some pain after surgery, but medicine can help.
 

 **7) Patient Rights:**
 

 - You have the right to ask questions about the surgery.
 - You can say no to the surgery, but we want to make sure you understand the risks of not having it.
 - Your health and understanding are very important to us.
 

 Please feel free to ask any questions you have. We are here to help and support you through this process.",,,,,
Appendectomy,English,8th Grade,2,Post-Op,"**Post-Appendectomy Instructions**
 

 We understand that recovering from surgery can be stressful. Here are some simple steps to help you heal after your appendectomy. 
 

 **1) Wound Care**
 

 - **Keep It Clean**: Gently wash your wound with soap and water. Pat it dry with a clean towel. 
 - **No Scrubbing**: Do not scrub the wound or use creams unless your doctor says it's okay.
 - **Bandages**: Change your bandages daily or if they get wet or dirty.
 - **Watch for Signs of Infection**: If you notice redness, swelling, or pus, contact your doctor.
 

 **2) Pain Management**
 

 - **Take Your Medicine**: Use pain medicine as prescribed by your doctor. 
 - **Rest**: Take it easy and rest when needed. 
 - **Ice Packs**: Place an ice pack on your belly for comfort. Wrap it in a towel to protect your skin.
 

 **3) Activity Restrictions**
 

 - **Limit Lifting**: Do not lift anything heavier than 10 pounds.
 - **Avoid Strenuous Activities**: No exercise, sports, or heavy work until your doctor says it's okay.
 - **Slow Movements**: Stand up and sit down slowly to avoid pain.
 

 **4) Diet**
 

 - **Start Slow**: Begin with clear liquids like water, broth, or juice.
 - **Gradually Add Food**: Add soft foods like applesauce, yogurt, or soup when you feel ready.
 - **Stay Hydrated**: Drink plenty of water throughout the day.
 

 **5) When to Call the Doctor (Red Flag Symptoms)**
 

 - **Fever**: If you have a fever over 101°F, call your doctor.
 - **Increased Pain**: Pain that gets worse, not better, needs attention.
 - **Trouble Breathing**: If you have difficulty breathing, call your doctor immediately.
 - **Vomiting**: If you cannot keep food or drinks down, let your doctor know.
 

 **6) Follow-Up Instructions**
 

 - **Scheduled Appointments**: Make sure to attend your follow-up appointment as scheduled by your doctor.
 - **Questions**: Write down any questions or concerns to discuss with your doctor during the visit.
 

 We are here to help you recover smoothly. If you have any questions or need help, don't hesitate to call your doctor's office. Take care and rest well!",,,,,
Appendectomy,English,8th Grade,2,Pre-Op,"**Appendectomy: A Simple Guide**
 

 **1) What the Procedure Is:**
 An appendectomy is a surgery to remove your appendix. The appendix is a small, tube-shaped organ in your belly. It doesn't have a big job in your body, but if it gets infected, it needs to be taken out.
 

 **2) Why It Is Needed:**
 You might need an appendectomy if your appendix gets swollen and painful, a condition called appendicitis. If not removed, it can burst and cause serious harm.
 

 **3) Risks and Complications:**
 Like all surgeries, an appendectomy has some risks. These might include:
 - Bleeding
 - Infection
 - Reactions to anesthesia (the medicine that makes you sleep during surgery)
 - Injury to nearby organs
 These problems don't happen often, but it's important to know they are possible.
 

 **4) Benefits:**
 The main benefit of this surgery is to stop the pain and prevent your appendix from bursting. Removing it can save you from more serious health problems.
 

 **5) Alternatives (Including Doing Nothing):**
 - **Watchful Waiting:** Sometimes doctors might wait a bit to see if you get better with antibiotics.
 - **Antibiotics:** Medicine that might reduce the infection.
 - **Doing Nothing:** This is risky because if the appendix bursts, it can be life-threatening.
 

 **6) Recovery Expectations:**
 - **Hospital Stay:** You might stay in the hospital for a day or two.
 - **At Home:** You'll need to rest and avoid heavy activities for a few weeks.
 - **Follow-up:** You may have a follow-up appointment with your doctor to check your healing.
 

 **7) Patient Rights:**
 - **Ask Questions:** You can ask your doctor any questions you have about the surgery.
 - **Refuse Surgery:** If you don't want the surgery, you have the right to say no.
 

 Remember, it's important to talk to your doctor if you have concerns. They are there to help you understand and feel comfortable with your care.",,,,,
