Procedure,Language,Reading Level,Replicate,GPT Output,FKGL Score,SMOG Score,Flesch Ease,Reverse-Translated Output,Notes
Appendectomy,English,Standard,1,,,,,,
Appendectomy,English,Standard,2,,,,,,
Appendectomy,English,Standard,3,,,,,,
Appendectomy,English,10th Grade,1,,,,,,
Appendectomy,English,10th Grade,2,,,,,,
Appendectomy,English,10th Grade,3,,,,,,
Appendectomy,English,5th Grade,1,,,,,,
Appendectomy,English,5th Grade,2,,,,,,
Appendectomy,English,5th Grade,3,,,,,,
Appendectomy,Spanish,Standard,1,,,,,,
Appendectomy,Spanish,Standard,2,,,,,,
Appendectomy,Spanish,Standard,3,,,,,,
Appendectomy,Spanish,10th Grade,1,,,,,,
Appendectomy,Spanish,10th Grade,2,,,,,,
Appendectomy,Spanish,10th Grade,3,,,,,,
Appendectomy,Spanish,5th Grade,1,,,,,,
Appendectomy,Spanish,5th Grade,2,,,,,,
Appendectomy,Spanish,5th Grade,3,,,,,,
Appendectomy,Arabic,Standard,1,,,,,,
Appendectomy,Arabic,Standard,2,,,,,,
Appendectomy,Arabic,Standard,3,,,,,,
Appendectomy,Arabic,10th Grade,1,,,,,,
Appendectomy,Arabic,10th Grade,2,,,,,,
Appendectomy,Arabic,10th Grade,3,,,,,,
Appendectomy,Arabic,5th Grade,1,,,,,,
Appendectomy,Arabic,5th Grade,2,,,,,,
Appendectomy,Arabic,5th Grade,3,,,,,,
Appendectomy,Bengali,Standard,1,,,,,,
Appendectomy,Bengali,Standard,2,,,,,,
Appendectomy,Bengali,Standard,3,,,,,,
Appendectomy,Bengali,10th Grade,1,,,,,,
Appendectomy,Bengali,10th Grade,2,,,,,,
Appendectomy,Bengali,10th Grade,3,,,,,,
Appendectomy,Bengali,5th Grade,1,,,,,,
Appendectomy,Bengali,5th Grade,2,,,,,,
Appendectomy,Bengali,5th Grade,3,,,,,,
Cholecystectomy,English,Standard,1,,,,,,
Cholecystectomy,English,Standard,2,,,,,,
Cholecystectomy,English,Standard,3,,,,,,
Cholecystectomy,English,10th Grade,1,,,,,,
Cholecystectomy,English,10th Grade,2,,,,,,
Cholecystectomy,English,10th Grade,3,,,,,,
Cholecystectomy,English,5th Grade,1,,,,,,
Cholecystectomy,English,5th Grade,2,,,,,,
Cholecystectomy,English,5th Grade,3,,,,,,
Cholecystectomy,Spanish,Standard,1,,,,,,
